"Training Data Accuracy","Testing Data Accuracy"
"0.094317","0.091800"
"0.916367","0.917100"
"0.932717","0.928700"
"0.941233","0.937100"
"0.942033","0.936000"
"0.946667","0.942600"
"0.949200","0.939800"
"0.952567","0.944600"
"0.952983","0.942100"
"0.956900","0.948700"
"0.957483","0.949500"
"0.956950","0.947800"
"0.959617","0.945700"
"0.956800","0.944300"
"0.961433","0.948200"
"0.961900","0.951200"
"0.964767","0.949200"
"0.964250","0.950100"
"0.958433","0.943300"
"0.964100","0.950000"
"0.964383","0.950500"
"0.967317","0.952900"
"0.966233","0.949500"
"0.966833","0.950200"
"0.965950","0.949300"
"0.968267","0.950100"
"0.967850","0.950700"
"0.969883","0.951100"
"0.967500","0.950700"
"0.969733","0.951700"
"0.970633","0.953200"
